macro_bairro,nome_cliente,bairro_destino,order_datetime,platform,order_mode,distance_km,tempo_preparo_minutos,status,eta_minutes_quote,actual_delivery_minutes,total_brl,classe_pedido,platform_commission_pct,num_itens,satisfacao_nivel
Outros,Júlia Ramos,Bela Vista,2024-01-01 15:08:00,rappi,delivery,6.92,34,delivered,50,62.4,288.01,familia,0.16,8,3
Santo Amaro,Gustavo R. Rezende,Santo Amaro,2024-01-02 07:49:00,ifood,delivery,5.75,16,delivered,45,35.6,125.02,combo,0.16,3,5
Jardins,Valentina Y. Oliveira,Jardins,2024-01-02 10:14:00,ifood,delivery,4.55,15,delivered,43,34.5,110.76,combo,0.12,4,5
Vila Olímpia,Mariana Moreira,Vila Olímpia,2024-01-02 10:58:00,site_proprio,retirada,0.06,6,delivered,19,14.4,45.16,prato_unico,0.0,1,5
Moema,Daniel Rocha,Ibirapuera,2024-01-02 12:56:00,site_proprio,retirada,0.1,25,delivered,28,26.6,123.12,combo,0.0,3,5
Vila Mariana,Natália V. Xavier,Paraíso,2024-01-02 13:34:00,rappi,delivery,4.92,17,delivered,44,33.5,68.34,prato_unico,0.12,3,5
Jardins,Mariana Cavalcanti,Jardim Paulista,2024-01-02 14:07:00,ifood,delivery,6.09,8,delivered,44,36.5,79.3,prato_unico,0.12,2,5
Vila Olímpia,Pedro Costa,Vila Olímpia,2024-01-02 14:07:00,ifood,delivery,2.32,21,delivered,40,34.5,148.95,combo,0.16,4,5
Morumbi,Henrique D. Rezende,Real Parque,2024-01-02 14:54:00,site_proprio,retirada,0.09,20,delivered,29,19.9,128.67,combo,0.0,5,5
Outros,Thiago R. Lopes,Butantã,2024-01-02 15:06:00,ifood,delivery,8.36,17,delivered,47,48.6,104.48,prato_unico,0.16,4,4
Brooklin,Samuel Mendes,Campo Belo,2024-01-02 16:59:00,ifood,delivery,0.89,6,delivered,29,7.2,77.7,prato_unico,0.12,1,5
Vila Mariana,Daniel Ramos,Aclimação,2024-01-02 19:45:00,ifood,delivery,5.69,20,delivered,47,38.2,114.54,prato_unico,0.16,3,5
Vila Mariana,Gustavo K. Melo,Aclimação,2024-01-02 22:44:00,ifood,delivery,6.01,9,delivered,49,30.6,120.18,prato_unico,0.12,3,5
Santo Amaro,Natália Barbosa,Chácara Santo Antônio,2024-01-02 23:52:00,site_proprio,delivery,5.74,14,delivered,42,24.5,47.67,prato_unico,0.0,1,5
Brooklin,Rafaela Z. Oliveira,Campo Belo,2024-01-03 05:42:00,whatsapp,retirada,0.2,15,delivered,28,8.4,134.36,prato_unico,0.0,4,5
